timestamp,node_id,subsystem,sensor,parameter,value_raw,value_hrf
2018/08/25 00:00:00,001e061135cb,metsense,bmp180,pressure,9909900,990.99
2018/08/25 00:00:00,001e061135cb,metsense,bmp180,temperature,NA,19.4
2018/08/25 00:00:00,001e061135cb,metsense,htu21d,humidity,NA,79.37
2018/08/25 00:00:00,001e061135cb,metsense,htu21d,temperature,NA,19.42
2018/08/25 00:00:00,001e061135cb,metsense,tsys01,temperature,NA,20.04
2018/08/25 00:00:02,001e0610bbf9,metsense,bmp180,pressure,11016512,1015.59
2018/08/25 00:00:02,001e0610bbf9,metsense,bmp180,temperature,22608,13.8
2018/08/25 00:00:02,001e0610bbf9,metsense,htu21d,humidity,47274,84.16
2018/08/25 00:00:02,001e0610bbf9,metsense,htu21d,temperature,24356,18.46
2018/08/25 00:00:02,001e0610bbf9,metsense,tsys01,temperature,9640892,19.4
2018/08/25 00:00:02,001e0610bbff,metsense,bmp180,pressure,9923800,992.38
2018/08/25 00:00:02,001e0610bbff,metsense,bmp180,temperature,NA,19.9
2018/08/25 00:00:02,001e0610bbff,metsense,tsys01,temperature,NA,19.99
2018/08/25 00:00:02,001e0610fb4c,metsense,bmp180,pressure,9923700,992.37
2018/08/25 00:00:02,001e0610fb4c,metsense,bmp180,temperature,NA,19.79
2018/08/25 00:00:02,001e0610fb4c,metsense,tsys01,temperature,NA,19.7
2018/08/25 00:00:03,001e06113acb,metsense,bmp180,pressure,10387808,1033.39
2018/08/25 00:00:03,001e06113acb,metsense,bmp180,temperature,27956,47.0
2018/08/25 00:00:03,001e06113acb,metsense,htu21d,humidity,44174,78.25
2018/08/25 00:00:03,001e06113acb,metsense,htu21d,temperature,24616,19.15
2018/08/25 00:00:03,001e06113acb,metsense,tsys01,temperature,9637810,19.29
2018/08/25 00:00:04,001e0610ee43,metsense,bmp180,pressure,10760672,1003.14
2018/08/25 00:00:04,001e0610ee43,metsense,bmp180,temperature,23481,19.7
2018/08/25 00:00:04,001e0610ee43,metsense,htu21d,humidity,36618,63.84
2018/08/25 00:00:04,001e0610ee43,metsense,htu21d,temperature,25756,22.21
2018/08/25 00:00:04,001e0610ee43,metsense,tsys01,temperature,9734146,22.56
2018/08/25 00:00:04,001e0610ef27,metsense,bmp180,pressure,9938000,993.8
2018/08/25 00:00:04,001e0610ef27,metsense,bmp180,temperature,NA,20.45
2018/08/25 00:00:04,001e0610ef27,metsense,htu21d,temperature,NA,3.83
2018/08/25 00:00:04,001e0610ef27,metsense,tsys01,temperature,NA,20.11
2018/08/25 00:00:05,001e0610e540,metsense,bmp180,pressure,9958700,995.87
2018/08/25 00:00:05,001e0610e540,metsense,bmp180,temperature,NA,21.5
2018/08/25 00:00:05,001e0610e540,metsense,htu21d,humidity,NA,46.49
2018/08/25 00:00:05,001e0610e540,metsense,tsys01,temperature,NA,19.72
2018/08/25 00:00:06,001e0610eef4,metsense,bmp180,pressure,9911500,991.15
2018/08/25 00:00:06,001e0610eef4,metsense,bmp180,temperature,NA,19.5
2018/08/25 00:00:06,001e0610eef4,metsense,htu21d,humidity,NA,78.99
2018/08/25 00:00:06,001e0610eef4,metsense,htu21d,temperature,NA,19.73
2018/08/25 00:00:06,001e0610eef4,metsense,tsys01,temperature,NA,20.0
2018/08/25 00:00:06,001e0611536c,metsense,bmp180,pressure,10035424,975.49
2018/08/25 00:00:06,001e0611536c,metsense,bmp180,temperature,26898,40.9
2018/08/25 00:00:06,001e0611536c,metsense,htu21d,humidity,43062,76.13
2018/08/25 00:00:06,001e0611536c,metsense,htu21d,temperature,24816,19.69
2018/08/25 00:00:09,001e0610f05c,metsense,bmp180,pressure,11074752,1038.25
2018/08/25 00:00:09,001e0610f05c,metsense,bmp180,temperature,23459,19.5
2018/08/25 00:00:09,001e0610f05c,metsense,htu21d,temperature,24748,19.51
2018/08/25 00:00:09,001e0610f05c,metsense,tsys01,temperature,9664474,20.2
